Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Chaos/Solver/Collisions/NumRestoredConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Character/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumBroadPhasePairs,2,6.001916,-842150451,7.092201,0,7.425428,-842150451,0,-421075225.500000,595490294.681409,
Chaos/Solver/Collisions/NumMidPhases,2,6.001920,-842150451,7.092201,0,7.425428,-842150451,0,-421075225.500000,595490294.681409,
Chaos/Solver/MidPhase/NumShapePair,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/MidPhase/NumGeneric,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Iterations/NumPosition,1,1.000000,8,7.092202,8,7.092202,8,8,8.000000,0.000000,
Chaos/Solver/Iterations/NumVelocity,1,1.000000,2,7.092202,2,7.092202,2,2,2.000000,0.000000,
Chaos/Solver/Iterations/NumProjection,1,1.000000,1,7.092202,1,7.092202,1,1,1.000000,0.000000,
Chaos/Solver/Colors/NumCollisionColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumLinearJointColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumNonLinearJointColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumSuspensionConstraintColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumCharacterGroundConstraintColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheMemDemand,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheAllowance,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheOpCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheReadCursor,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
OnDemandContentInstaller/HttpRequestsIssued,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
OnDemandContentInstaller/HttpRequestsTryCanceled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
OnDemandContentInstaller/HttpRequestsSuccess,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
OnDemandContentInstaller/HttpRequestsFail,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
OnDemandContentInstaller/HttpRequestsActuallyCanceled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/CacheErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/DecodeErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/GetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/PutCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/PutExistingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/PutRejectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/CachedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/CachedEntries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/WriteCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/WriteBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/EvictedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/SuspendedSeconds,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Iax/StreamingCache/PendingBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/ReadBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/ReadMemoryBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/ReadDiskBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/StreamingCache/PutRejectBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/DiskWriteMegabytesPerSecond,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Ias/HttpConnectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDisconnectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpGetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpGetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDecodeErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpDecodeErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpRetryCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpRetryCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpCancelCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpCancelCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpPendingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpPendingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpPendingBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpPendingBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpInflightCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpInflightCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDownloadedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpDownloadedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDurationMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iad/HttpDurationMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpBandwidthMbps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Iad/HttpBandwidthMbps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Iax/Http/GetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/GetBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/CancelCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/RetryCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/ErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/DurationTotalMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Http/DurationAvgMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Installer/InstallCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Installer/InflightCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Installer/DownloadedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Installer/DurationAvgMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/Installer/CacheHitAvgPct.,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Iax/InstallCache/Shared/ResolveErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AudioStreamCache Loads,6,1.996283,1,9.303114,0,12.308700,0,1,0.500000,0.547723,
AudioStreamCache Loads Request,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AudioStreamCache Loads Playback,6,1.996283,1,9.303114,0,12.308699,0,1,0.500000,0.547723,
UObject Count,59,0.343834,35856,7.137867,35872,178.732515,35856,35894,35871.745763,10.825566,
Shaders/OnDemandShaderRequests,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableManager/JITLoadersActives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableManager/StreamablesInFlight,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableManager/TotalStreamablesQueued,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableManager/TotalStreamablesCancelled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableManager/AvgStreamableProcessingTime,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Shaders/JobCache/SearchAttempts,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/Hits,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCRequests,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCHits,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCBytesReceived,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/JobCache/DDCBytesSent,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/Pending,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/Compiled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWIndividualMemory_Max,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWIndividualMemory_Median,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWMemoryViolationSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWMemory,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
